ndc,year,headline_count,avg_headline_len
HOME,1992,11056,36.31259044862518
HOME,1993,10451,36.200650655439674
HOME,1994,10035,35.8667663178874
HOME,1995,12584,35.82072472981564
HOME,1996,12478,38.50520916813592
HOME,1997,13557,36.07036955078557
HOME,1998,12620,39.70847860538827
HOME,1999,12137,39.63236384609047
HOME,2000,12625,38.51493069306931
HOME,2001,14207,40.303160413880484
HOME,2002,14045,41.57030971876112
HOME,2003,13807,40.76381545592815
HOME,2004,13243,39.6105867250623
HOME,2005,13573,38.94253296986665
HOME,2006,13190,36.997119029567855
HOME,2007,607,24.079077429983524
HOME,2008,822,30.66301703163017
HOME,2009,905,28.302762430939225
HOME,2010,909,33.232123212321234
HOME,2011,922,34.20824295010846
HOME,2012,923,29.93607800650054
HOME,2013,902,29.52882483370288
HOME,2014,1534,43.65384615384615
HOME,2015,706,47.8356940509915
HOME,2016,308,55.83766233766234
HOME,2017,367,57.525885558583106
HOME,2018,319,60.62068965517241
HOME,2019,307,60.50814332247557
HOME,2020,631,50.782884310618066
ARTS/CULTURE,1991,1,42.0
ARTS/CULTURE,1992,2,26.0
ARTS/CULTURE,1993,1,25.0
ARTS/CULTURE,1994,0,
ARTS/CULTURE,1995,3,40.333333333333336
ARTS/CULTURE,1996,1,46.0
ARTS/CULTURE,1997,1211,44.421965317919074
ARTS/CULTURE,1998,4089,43.93690388848129
ARTS/CULTURE,1999,3948,44.65020263424519
ARTS/CULTURE,2000,3897,45.646394662560944
ARTS/CULTURE,2001,4007,43.808834539555775
ARTS/CULTURE,2002,4163,43.21859236127793
ARTS/CULTURE,2003,3848,43.887993762993766
ARTS/CULTURE,2004,4620,43.306060606060605
ARTS/CULTURE,2005,6324,41.28700189753321
ARTS/CULTURE,2006,10114,45.31916155823611
ARTS/CULTURE,2007,7992,38.12975475475476
ARTS/CULTURE,2008,9268,37.4297583081571
ARTS/CULTURE,2009,12408,39.843729851708574
ARTS/CULTURE,2010,9614,39.986790097774076
ARTS/CULTURE,2011,5706,39.453382404486504
ARTS/CULTURE,2012,5556,39.63480921526278
ARTS/CULTURE,2013,6124,38.36054866100588
ARTS/CULTURE,2014,8622,42.57457666434702
ARTS/CULTURE,2015,8786,53.81106305486001
ARTS/CULTURE,2016,7083,55.898348157560356
ARTS/CULTURE,2017,5906,57.83694547917372
ARTS/CULTURE,2018,5295,58.165627950897075
ARTS/CULTURE,2019,4810,57.364241164241164
ARTS/CULTURE,2020,4124,55.79752667313288
WEEKEND,1991,5345,39.19812909260992
WEEKEND,1992,5346,40.603254769921435
WEEKEND,1993,5625,42.00711111111111
WEEKEND,1994,5411,42.36573646276104
WEEKEND,1995,6487,40.89656235548019
WEEKEND,1996,6534,37.407254361799815
WEEKEND,1997,6750,34.67125925925926
WEEKEND,1998,7246,38.59011868617168
WEEKEND,1999,7402,38.93717914077276
WEEKEND,2000,7843,36.224531429300015
WEEKEND,2001,7179,35.24223429446998
WEEKEND,2002,7215,34.67234927234927
WEEKEND,2003,6951,34.977269457632
WEEKEND,2004,6897,35.41336813107148
WEEKEND,2005,6723,35.43462739848282
WEEKEND,2006,8779,37.80293883130197
WEEKEND,2007,2673,34.17022072577628
WEEKEND,2008,2807,33.25970787317421
WEEKEND,2009,3004,33.67909454061252
WEEKEND,2010,3145,34.006995230524645
WEEKEND,2011,2633,36.44246107102165
WEEKEND,2012,2340,38.080341880341884
WEEKEND,2013,2479,36.48769665187576
WEEKEND,2014,2509,36.878437624551616
WEEKEND,2015,2433,52.07028360049322
WEEKEND,2016,2294,53.78596338273758
WEEKEND,2017,1917,51.36254564423579
WEEKEND,2018,1849,56.478637101135746
WEEKEND,2019,1797,55.095158597662774
WEEKEND,2020,1285,52.501167315175095
MEDIA,1991,5850,38.572649572649574
MEDIA,1992,5645,38.72524357838795
MEDIA,1993,5487,38.5002733734281
MEDIA,1994,5625,37.26506666666667
MEDIA,1995,6053,36.142243515612094
MEDIA,1996,6685,32.678982797307405
MEDIA,1997,7334,30.607853831469868
MEDIA,1998,8064,36.13082837301587
MEDIA,1999,7912,31.441102123356927
MEDIA,2000,8007,29.22342949918821
MEDIA,2001,8218,29.28425407641762
MEDIA,2002,8308,27.595570534424652
MEDIA,2003,8510,28.644888366627498
MEDIA,2004,8413,29.40473077380245
MEDIA,2005,8234,30.25965508865679
MEDIA,2006,6553,27.7895620326568
MEDIA,2007,455,40.17142857142857
MEDIA,2008,1966,42.321973550356056
MEDIA,2009,1341,45.46159582401193
MEDIA,2010,1149,45.157528285465624
MEDIA,2011,2,49.0
MEDIA,2012,7,38.57142857142857
MEDIA,2013,43,49.7906976744186
MEDIA,2014,7,40.285714285714285
MEDIA,2015,22,42.77272727272727
MEDIA,2016,19,34.473684210526315
MEDIA,2017,12,43.25
MEDIA,2018,12,49.25
MEDIA,2019,15,44.0
MEDIA,2020,6,50.666666666666664
ENTERTAINMENT,1991,0,
ENTERTAINMENT,1992,0,
ENTERTAINMENT,1993,0,
ENTERTAINMENT,1994,0,
ENTERTAINMENT,1995,0,
ENTERTAINMENT,1996,1,80.0
ENTERTAINMENT,1997,0,
ENTERTAINMENT,1998,23,39.08695652173913
ENTERTAINMENT,1999,23,47.65217391304348
ENTERTAINMENT,2000,26,47.30769230769231
ENTERTAINMENT,2001,16,44.1875
ENTERTAINMENT,2002,17,39.705882352941174
ENTERTAINMENT,2003,14,39.0
ENTERTAINMENT,2004,21,48.333333333333336
ENTERTAINMENT,2005,67,47.38805970149254
ENTERTAINMENT,2006,7116,46.39038785834739
ENTERTAINMENT,2007,11155,45.5994621246078
ENTERTAINMENT,2008,11057,41.34720086822827
ENTERTAINMENT,2009,11275,39.675388026607536
ENTERTAINMENT,2010,10217,39.346089850249584
ENTERTAINMENT,2011,7227,40.282689912826896
ENTERTAINMENT,2012,6558,41.57807258310461
ENTERTAINMENT,2013,7119,42.34597555836494
ENTERTAINMENT,2014,7916,45.998484082870135
ENTERTAINMENT,2015,6830,50.911420204978036
ENTERTAINMENT,2016,5051,50.1128489408038
ENTERTAINMENT,2017,4375,48.03245714285714
ENTERTAINMENT,2018,3923,50.153708896252866
ENTERTAINMENT,2019,2947,54.006447234475736
ENTERTAINMENT,2020,2537,54.544343713046906
OPINION/EDITORIAL,1991,0,
OPINION/EDITORIAL,1992,1,28.0
OPINION/EDITORIAL,1993,1,15.0
OPINION/EDITORIAL,1994,0,
OPINION/EDITORIAL,1995,0,
OPINION/EDITORIAL,1996,1,25.0
OPINION/EDITORIAL,1997,2,26.0
OPINION/EDITORIAL,1998,3,22.333333333333332
OPINION/EDITORIAL,1999,0,
OPINION/EDITORIAL,2000,0,
OPINION/EDITORIAL,2001,316,32.35126582278481
OPINION/EDITORIAL,2002,664,30.716867469879517
OPINION/EDITORIAL,2003,831,36.64259927797834
OPINION/EDITORIAL,2004,862,42.28538283062645
OPINION/EDITORIAL,2005,896,39.111607142857146
OPINION/EDITORIAL,2006,3757,27.6121905775885
OPINION/EDITORIAL,2007,5022,25.85005973715651
OPINION/EDITORIAL,2008,5516,25.356961566352428
OPINION/EDITORIAL,2009,5506,26.552488194696693
OPINION/EDITORIAL,2010,5303,26.3895907976617
OPINION/EDITORIAL,2011,4135,26.683192261185006
OPINION/EDITORIAL,2012,4130,27.35544794188862
OPINION/EDITORIAL,2013,3920,27.357908163265307
OPINION/EDITORIAL,2014,5760,31.162847222222222
OPINION/EDITORIAL,2015,5695,34.280421422300265
OPINION/EDITORIAL,2016,5458,35.722242579699525
OPINION/EDITORIAL,2017,5114,37.65095815408682
OPINION/EDITORIAL,2018,5159,39.110098856367514
OPINION/EDITORIAL,2019,4861,41.481999588562026
OPINION/EDITORIAL,2020,4471,44.39476627152762
TRAVEL,1991,4662,37.64157014157014
TRAVEL,1992,4269,36.724994143827594
TRAVEL,1993,4533,38.58327818221928
TRAVEL,1994,4618,35.510394110004334
